n_contacts,hbond_contacts,vdw_contacts,min_dist_A,passes,model,model_file,pdb_path,rank
192,28,164,2.214,False,93,n-meme4-20093,./results_docking/n-meme4-2/n-meme4-20093.pdb,61
214,27,187,2.284,False,10,n-meme4-20010,./results_docking/n-meme4-2/n-meme4-20010.pdb,62
210,27,183,2.248,False,67,n-meme4-20067,./results_docking/n-meme4-2/n-meme4-20067.pdb,63
200,27,173,2.358,False,99,n-meme4-20099,./results_docking/n-meme4-2/n-meme4-20099.pdb,64
200,26,174,1.518,False,44,n-meme4-20044,./results_docking/n-meme4-2/n-meme4-20044.pdb,65
174,26,148,2.225,False,59,n-meme4-20059,./results_docking/n-meme4-2/n-meme4-20059.pdb,66
205,25,180,2.31,False,71,n-meme4-20071,./results_docking/n-meme4-2/n-meme4-20071.pdb,67
192,25,167,2.124,False,33,n-meme4-20033,./results_docking/n-meme4-2/n-meme4-20033.pdb,68
176,25,151,2.185,False,87,n-meme4-20087,./results_docking/n-meme4-2/n-meme4-20087.pdb,69
172,25,147,2.3,False,9,n-meme4-20009,./results_docking/n-meme4-2/n-meme4-20009.pdb,70
166,25,141,1.861,False,29,n-meme4-20029,./results_docking/n-meme4-2/n-meme4-20029.pdb,71
184,24,160,2.422,True,22,n-meme4-20022,./results_docking/n-meme4-2/n-meme4-20022.pdb,72
203,23,180,1.966,False,75,n-meme4-20075,./results_docking/n-meme4-2/n-meme4-20075.pdb,73
185,23,162,1.873,False,58,n-meme4-20058,./results_docking/n-meme4-2/n-meme4-20058.pdb,74
191,22,169,2.638,True,17,n-meme4-20017,./results_docking/n-meme4-2/n-meme4-20017.pdb,75
187,22,165,2.533,True,15,n-meme4-20015,./results_docking/n-meme4-2/n-meme4-20015.pdb,76
178,21,157,2.358,False,49,n-meme4-20049,./results_docking/n-meme4-2/n-meme4-20049.pdb,77
161,21,140,2.269,False,46,n-meme4-20046,./results_docking/n-meme4-2/n-meme4-20046.pdb,78
199,20,179,2.348,False,1,n-meme4-20001,./results_docking/n-meme4-2/n-meme4-20001.pdb,79
179,20,159,2.048,False,32,n-meme4-20032,./results_docking/n-meme4-2/n-meme4-20032.pdb,80
174,20,154,2.38,False,54,n-meme4-20054,./results_docking/n-meme4-2/n-meme4-20054.pdb,81
164,20,144,2.329,False,78,n-meme4-20078,./results_docking/n-meme4-2/n-meme4-20078.pdb,82
153,20,133,2.037,False,79,n-meme4-20079,./results_docking/n-meme4-2/n-meme4-20079.pdb,83
168,19,149,2.246,False,88,n-meme4-20088,./results_docking/n-meme4-2/n-meme4-20088.pdb,84
162,19,143,2.179,False,51,n-meme4-20051,./results_docking/n-meme4-2/n-meme4-20051.pdb,85
144,18,126,2.437,True,96,n-meme4-20096,./results_docking/n-meme4-2/n-meme4-20096.pdb,86
187,17,170,2.05,False,6,n-meme4-20006,./results_docking/n-meme4-2/n-meme4-20006.pdb,87
148,17,131,2.354,False,7,n-meme4-20007,./results_docking/n-meme4-2/n-meme4-20007.pdb,88
165,15,150,2.24,False,84,n-meme4-20084,./results_docking/n-meme4-2/n-meme4-20084.pdb,89
162,15,147,2.498,True,70,n-meme4-20070,./results_docking/n-meme4-2/n-meme4-20070.pdb,90
146,15,131,2.414,True,56,n-meme4-20056,./results_docking/n-meme4-2/n-meme4-20056.pdb,91
144,15,129,2.358,False,38,n-meme4-20038,./results_docking/n-meme4-2/n-meme4-20038.pdb,92
138,15,123,2.192,False,68,n-meme4-20068,./results_docking/n-meme4-2/n-meme4-20068.pdb,93
158,14,144,2.696,True,91,n-meme4-20091,./results_docking/n-meme4-2/n-meme4-20091.pdb,94
115,12,103,2.966,True,60,n-meme4-20060,./results_docking/n-meme4-2/n-meme4-20060.pdb,95
159,10,149,1.791,False,81,n-meme4-20081,./results_docking/n-meme4-2/n-meme4-20081.pdb,96
151,10,141,2.191,False,37,n-meme4-20037,./results_docking/n-meme4-2/n-meme4-20037.pdb,97
122,10,112,2.282,False,45,n-meme4-20045,./results_docking/n-meme4-2/n-meme4-20045.pdb,98
88,8,80,2.711,True,62,n-meme4-20062,./results_docking/n-meme4-2/n-meme4-20062.pdb,99
120,6,114,2.002,False,66,n-meme4-20066,./results_docking/n-meme4-2/n-meme4-20066.pdb,100
